Vietnamese,Anger,Disgust,Fear,Enjoyment,Sadness,Surprise,
bồi thường,0,0,0,1,0,1,2
bom,0,0,1,0,0,1,2
bù lại,0,0,0,0,0,0,0
ca ngợi,0,0,0,1,0,1,2
cả tin,0,0,1,0,1,0,2
ca tụng,0,0,0,1,0,1,2
cầm tù,1,1,1,0,1,0,4
cao đỉnh,0,0,0,1,0,1,2
cao trào,0,0,0,1,0,1,2
cay độc,1,1,1,0,1,0,4
chê,1,1,1,0,1,0,4
chen chúc,1,1,1,0,1,0,4
chết,1,1,1,0,1,0,4
chết chóc,1,1,1,0,1,0,4
chết người,0,1,1,0,1,0,3
chết tiệt,1,1,1,0,1,0,4
chó cái,1,1,1,0,1,0,4
chọc tức,0,0,0,1,0,1,2
chống đối,1,1,1,0,1,0,4
chống đối xã hội,1,1,1,0,1,0,4
chu toàn,0,0,0,1,0,1,2
chưa thực hiện,1,0,0,0,1,1,3
có duyên,0,0,0,1,0,1,2
có hại,0,1,1,0,0,0,2
có triển vọng,0,0,0,1,0,1,2
cổ vũ,0,0,0,1,0,1,2
coi nhẹ,1,1,1,0,1,0,4
cực điểm,0,0,0,1,0,1,2
cúng tế,0,0,0,1,1,0,2
cười thầm,0,0,0,1,0,1,2
dã ngoại,0,0,0,1,0,1,2
đẫm máu,1,1,1,0,1,0,4
đáng chết treo,1,1,1,0,1,0,4
đáng trách,1,1,1,0,1,0,4
đáng treo cổ,1,1,1,0,1,0,4
đắt,0,1,0,0,1,1,3
đắt đỏ,0,1,0,0,1,1,3
đắt giá,0,1,0,0,1,1,3
đắt tiền,0,1,0,0,1,1,3
đày,1,1,1,0,1,0,4
đầy căm hờn,1,1,1,0,1,0,4
đầy căm thù,1,1,1,0,1,0,4
đầy hứa hẹn,0,0,0,1,0,1,2
đầy máu,1,1,1,0,1,0,4
dễ mắc lừa,1,1,1,0,1,0,4
đền bù,0,0,0,1,0,1,2
di sản,0,0,0,1,0,1,2
đi theo,0,0,0,1,0,1,2
địa chấn,0,1,1,0,0,1,3
điên cuồng,1,1,1,0,0,1,4
đỉnh cao,0,0,0,1,0,1,2
độc ác,1,1,1,0,1,0,4
độc lập,0,0,0,1,0,1,2
đồi bại,1,1,1,0,1,0,4
động đất,0,1,1,0,0,1,3
đồng tình,0,0,1,1,1,0,3
dữ dội,1,0,0,1,0,0,2
gay gắt,1,1,1,0,1,0,4
giả bộ,1,1,0,1,0,1,4
gia tăng,0,0,1,1,0,1,3
giam cầm,1,1,1,0,1,0,4
giấu,0,1,0,1,0,1,3
giấu giếm,0,1,0,1,0,1,3
giết người,1,1,1,0,0,1,4
giọng trầm bổng,1,0,0,1,0,1,3
gò bó,1,1,1,0,1,0,4
hài cốt,0,1,1,0,0,0,2
hạn chế,1,1,1,0,1,0,4
hận thù,1,1,1,0,1,0,4
háo hức,0,0,0,1,0,1,2
hậu quả,1,1,1,0,1,0,4
hiến dâng,0,0,0,1,1,0,2
hiu quạnh,1,1,1,0,1,0,4
hòa hiệp,0,0,0,1,0,1,2
hoàn thiện,0,0,0,1,0,1,2
hoang vu,1,1,1,0,1,0,4
hung bạo,1,1,1,0,0,1,4
hung dữ,1,0,0,1,0,0,2
hung hãn,1,1,1,0,0,1,4
hung tợn,1,1,1,0,0,1,4
huyền diệu,0,0,0,1,0,1,2
huyên náo,1,0,0,1,0,0,2
hy vọng,0,0,0,1,0,1,2
kế nghiệp,0,0,0,1,0,1,2
kế vị,0,0,0,1,0,1,2
kết án,1,1,1,0,1,0,4
khắc nghiệt,0,1,1,0,0,1,3
khát khao,0,0,0,1,0,0,1
khó khăn,1,1,1,0,1,0,4
khố rách áo ôm,0,1,1,0,1,0,3
khoan hồng,0,0,0,1,0,1,2
khốc liệt,0,1,1,0,0,1,3
không chắc,1,1,1,0,0,1,4
không có tiền,0,1,1,0,1,0,3
không được hợp tác,1,1,0,0,1,0,3
không được phối hợp,1,1,0,0,1,0,3
không hài lòng,1,1,1,0,1,0,4
không kiên định,1,1,1,0,0,1,4
không một xu dính túi,0,1,1,0,1,0,3
không nhà không cửa,0,1,1,0,1,0,3
không thể chữa được,1,1,1,0,1,0,4
không tiền,0,1,1,0,1,0,3
khuyến khích,0,0,0,1,0,1,2
kín đáo,0,1,1,1,0,0,3
kin khủng,1,1,1,0,1,0,4
kinh khủng,1,1,1,0,1,0,4
lạc quan,0,0,0,1,0,1,2
lạm dụng,1,1,1,0,1,0,4
làm ghê tởm,1,1,1,0,0,1,4
làm kinh tởm,1,1,1,0,0,1,4
làm nô lệ,1,1,1,0,1,0,4
làm tởm,1,1,1,0,0,1,4
lễ kỷ niệm,0,0,0,1,0,1,2
lén lút,1,1,1,0,0,1,4
lo ngại,1,0,1,0,1,0,3
loét,1,1,1,0,1,0,4
lời khen,0,0,0,1,0,1,2
lòng tốt,0,0,0,1,0,1,2
ma quỷ,1,1,1,0,1,0,4
mắc,0,1,0,0,1,1,3
mạnh dần,0,0,0,1,0,1,2
mặt trời,0,0,0,1,0,1,2
máu me,1,1,1,0,1,0,4
máu me be bét,1,1,1,0,1,0,4
mến yêu,0,0,0,1,0,1,2
méo mó,1,1,1,0,1,0,4
mối lo,1,0,1,0,1,0,3
mong mỏi,0,0,0,1,0,0,1
mong ước,0,0,0,1,0,1,2
một thần,0,1,1,0,1,0,3
mù hoàn toàn,0,1,1,0,1,0,3
nắm lấy,0,0,0,1,0,1,2
nan y,1,1,1,0,1,0,4
náo nhiệt,1,0,0,1,0,0,2
nghèo rớt mồng tơi,0,1,1,0,1,0,3
người tình,0,0,0,1,1,0,2
người yêu,0,0,0,1,1,0,2
nhăn nhở,0,0,0,1,0,1,2
nhọt,1,1,1,0,1,0,4
như địa ngục,1,1,1,0,1,0,4
nhục nhã,1,1,1,0,1,0,4
nô dịch,1,1,1,0,1,0,4
nữ thần báo tử,1,1,1,0,1,0,4
nửa người,0,1,1,0,1,1,4
ô nhục,1,1,1,0,1,0,4
phaần bù,0,0,0,1,0,1,2
phạm tội nghiêm trọng,1,1,1,0,1,0,4
phản bội,1,1,0,0,1,1,4
phế tích,0,1,1,0,0,0,2
phép màu,0,0,0,1,0,1,2
phụ bạc,1,1,0,0,1,1,4
quái thai,1,1,1,0,0,1,4
quỷ quái,1,1,1,0,1,0,4
rạng sáng,0,0,0,1,0,1,2
rối rắm,1,1,1,0,1,0,4
rộng lượng,0,0,0,1,0,1,2
ruồng bỏ,1,1,1,0,1,0,4
sân chơi,0,0,0,1,0,1,2
sự lộng hành,1,1,1,0,1,0,4
sự ôm hôn,0,0,0,1,0,1,2
sự phá sản,1,1,1,0,1,0,4
sự run rẩy,1,0,1,0,1,0,3
sự tha hóa,1,1,1,0,1,0,4
sự thù oán,1,1,1,0,1,0,4
sự ủng hộ tích cực,1,0,0,1,0,0,2
tài năng,0,0,0,1,0,1,2
tán dương,0,0,0,1,1,0,2
tàn khốc,0,1,1,0,1,1,4
tàn tích,0,1,1,0,0,0,2
tán tụng,0,0,0,1,1,0,2
tăng lên,0,0,1,1,0,1,3
tệ hại,1,1,1,0,1,0,4
thái dương,0,0,0,1,0,1,2
thảm khốc,1,1,1,0,1,0,4
thẩm mĩ,0,0,0,1,0,1,2
tham nhũng,1,1,1,0,1,0,4
thần kỳ,0,0,0,1,0,1,2
thánh ca,1,0,0,1,0,1,3
thành công,0,0,0,1,0,1,2
thành kiến,1,1,1,0,1,0,4
thật thà,0,0,0,1,0,1,2
thi hài,0,1,1,0,0,0,2
thiện trí,0,0,0,1,0,1,2
thợ thủ công,0,0,0,1,1,1,3
thối nát,1,1,1,0,1,0,4
thông cảm,0,0,1,1,1,0,3
thông thạo,0,0,0,1,0,1,2
thù địch,1,1,1,0,1,0,4
thú vị,0,0,0,1,0,1,2
thu xếp,0,0,0,1,0,1,2
thừa kế,0,0,0,1,0,1,2
thương lượng,0,0,0,1,0,1,2
tiến bộ,0,0,1,1,0,1,3
tiến lên,0,0,1,1,0,1,3
tin mù quáng,1,1,1,0,1,0,4
toe toét,0,0,0,1,0,1,2
tối tăm,1,1,1,0,1,0,4
tồi tệ,1,1,1,0,1,0,4
tổn thương,1,1,1,0,1,0,4
tôn vinh,0,0,0,1,0,1,2
tốt,0,0,0,1,0,1,2
trái pháp luật,1,1,1,0,1,0,4
trái với đạo đức,1,1,1,0,1,0,4
tràn trề hy vọng,0,0,0,1,0,1,2
trật khớp,1,1,1,0,1,0,4
trêu,0,0,0,1,0,1,2
triển vọng,0,0,0,1,0,1,2
trình bày,0,0,0,1,0,1,2
trình diến,0,0,0,1,0,1,2
trống trải,1,1,1,0,1,0,4
trục xuất,1,1,1,0,1,0,4
tù nhân,1,1,1,0,1,0,4
tử tế,0,0,0,1,0,0,1
túng quẫn,0,1,1,0,1,0,3
tưởng tượng,0,0,0,1,0,0,1
nhọt,1,1,0,0,1,0,3
vắng vẻ,1,1,1,0,1,0,4
vấy máu,1,1,1,0,1,0,4
vi phạm,1,1,1,0,1,0,4
vĩnh cửu,0,0,0,1,1,0,2
vịnh nhỏ,0,0,0,0,0,0,0
vô lễ,1,1,1,0,1,0,4
vỡ nợ,1,1,1,0,1,0,4
vô tư,0,0,0,1,0,1,2
xâm nhập,1,0,1,0,0,1,3
xem thường,1,1,1,0,1,0,4
yêu dấu,0,0,0,1,0,0,1
yêu mến,0,0,0,1,0,0,1
yêu thương,0,0,0,1,0,0,1
ác độc,1,1,1,0,0,0,3
ái ngại,0,1,1,0,1,0,3
âm âm,0,1,1,0,1,0,3
âm âm u u,0,1,1,0,1,0,3
âm ỉ,1,1,1,0,0,0,3
ám muội,1,1,1,0,0,0,3
âm u,0,1,1,0,1,0,3
an ủi,0,0,0,1,0,0,1
anh hùng,0,0,0,1,0,1,2
bạc,0,0,0,1,0,0,1
bẩn,0,0,0,0,1,1,2
ban lệnh,0,0,0,1,0,0,1
ban phúc,0,0,0,1,0,0,1
ban phước,0,0,0,1,0,0,1
bạn thân,0,0,0,1,0,0,1
báo hại,1,1,0,0,1,0,3
bạo lực,1,1,1,0,0,0,3
bạo ngược,1,1,1,0,0,0,3
bảo vệ,0,0,0,1,0,0,1
bắt cóc,0,0,1,0,1,1,3
bất công,1,1,0,0,1,0,3
bắt ép,1,1,1,0,0,0,3
bất hạnh,1,1,0,0,1,0,3
bất lương,1,1,1,0,0,0,3
bất ổn,1,0,1,0,1,0,3
bất tiện,1,1,0,0,1,0,3
bất tỉnh,0,0,1,0,0,1,2
bất tỉnh nhân sự,0,0,1,0,0,1,2
bất trị,1,0,0,0,0,1,2
bất tuân,1,1,0,0,0,0,2
bậy bạ,0,1,1,0,0,1,3
be bét,1,1,1,0,0,0,3
bế mạc,0,0,0,1,1,0,2
bềnh bồng,1,0,1,1,0,0,3
bệnh than,0,1,1,0,1,0,3
bị công kích,1,0,1,0,0,1,3
bị huỷ hoại,0,1,1,0,1,0,3
bị lạc,0,0,1,0,1,0,2
bị loại,1,1,0,0,1,0,3
bị tấn công,1,0,1,0,0,1,3
bị thất sủng,1,1,0,0,1,0,3
bị thương tổn,0,0,1,0,1,0,2
bị truy nã,0,0,1,0,1,0,2
bị tước quyền công dân,0,0,1,0,1,0,2
biến mất,0,0,1,0,1,1,3
biết trước,0,0,0,0,0,1,1
bơi,0,0,1,1,0,0,2
bôi bạc,1,1,1,0,0,0,3
bội bạc,1,1,0,0,1,0,3
bồng bềnh,1,0,1,1,0,0,3
brute,1,0,1,0,1,0,3
bửn,0,0,0,0,1,1,2
bừng bừng lửa hận,1,1,0,0,0,0,2
bừng sáng,0,0,0,1,0,0,1
buôn lậu,1,1,1,0,0,0,3
buồn phiền,1,0,1,0,1,0,3
cá heo,0,0,0,1,0,1,2
cái bổ sung,0,0,0,1,0,0,1
cãi nhau,1,1,1,0,0,0,3
căn nguyên,0,0,0,1,0,0,1
cân nhắc,0,0,0,1,0,0,1
cao cả,0,0,0,1,0,1,2
cao quý,0,0,0,1,0,1,2
cao thượng,0,0,0,1,0,1,2
cấp cứu,0,0,1,0,1,1,3
cau có,1,1,0,0,1,0,3
cầu kỳ,0,0,0,1,0,1,2
cau mày,1,1,0,0,1,0,3
cay đắng,1,1,0,0,1,0,3
chấm dứt,0,0,0,1,1,0,2
chán nản,1,0,1,0,1,0,3
chân thành,0,0,0,1,0,0,1
chấn thương,1,0,1,0,1,0,3
cháu,0,0,0,1,0,0,1
châu báu,0,0,0,1,0,0,1
chảy máu,0,1,1,0,1,0,3
che đậy,0,0,1,0,0,1,2
chèn ép,1,1,1,0,0,0,3
chi phối,1,0,1,0,0,0,2
chia sẻ,0,0,0,1,0,0,1
chiếm hữu,0,0,0,1,0,0,1
chiến thắng,0,0,0,1,0,0,1
chiếu sáng,0,0,0,1,0,1,2
chỗ thần bí,0,0,0,1,0,0,1
chơi bời phóng đãng,0,1,0,1,0,1,3
chơi khăm,1,1,0,0,1,0,3
chói tai,1,1,1,0,0,0,3
chơi xỏ,1,1,0,0,1,0,3
chót lọt,0,0,0,1,0,0,1
chu đáo,0,0,0,1,0,0,1
chú hề,0,0,0,1,0,1,2
Chữa lành,0,0,0,1,0,0,1
Chúa tể,0,1,0,0,0,0,1
chứng nào tật nấy,1,1,0,0,1,0,3
chuộc lỗi,0,0,0,1,0,0,1
chuyến đi,0,0,1,1,0,0,2
chuyện yêu đương,0,0,0,1,0,0,1
có khả năng phối hợp,0,0,0,1,0,0,1
có khuynh hướng kết hợp,0,0,0,1,0,0,1
có lương tâm,0,0,0,1,0,0,1
có máu nóng,1,1,1,0,0,0,3
có mụn,0,1,0,0,1,0,2
có mụn nhọt,0,1,0,0,1,0,2
có nhọt,0,1,0,0,1,0,2
có thể nhận thức được,0,0,0,0,0,1,1
có ý xấu,1,1,1,0,0,0,3
côn đồ,1,1,1,0,0,0,3
công hiệu,0,0,0,1,0,1,2
cưới hỏi,0,0,0,1,0,0,1
cười phá lên,0,0,0,1,0,1,2
cứu giúp,0,0,0,1,0,0,1
cứu nguy,0,0,0,1,0,0,1
đa cảm,0,0,1,1,1,0,3
đã dọn dẹp,0,0,0,1,0,1,2
đã dọn sạch,0,0,0,1,0,1,2
dã man,1,1,1,0,0,0,3
đã phát quang,0,0,0,1,0,1,2
đa sầu đa cảm,0,0,1,1,1,0,3
đặc hữu,0,1,1,0,1,0,3
đắc thắng,0,0,0,1,0,0,1
đáng nguyền rủa,1,0,1,0,1,0,3
đau buồn,1,0,1,0,1,0,3
đau khổ,1,0,1,0,1,0,3
đẫy đà,0,1,0,0,1,0,2
đay nghiến,1,1,0,0,1,0,3
dễ ấn tượng,0,0,0,1,0,1,2
dễ bị ấn tượng,0,0,0,1,0,1,2
dễ nổi cáu,1,1,1,0,0,0,3
đền tội,0,0,0,1,0,0,1
dị,0,1,1,0,0,1,3
điên dại,1,0,1,0,1,0,3
diệu kì,0,0,0,1,0,1,2
điều sung sướng,0,0,0,1,0,0,1
điêu trá,1,1,0,0,0,1,3
đính hôn,0,0,0,1,0,0,1
dỗ dành,0,0,0,1,0,0,1
đoàn kết,0,0,0,1,0,0,1
độc tài,1,1,1,0,0,0,3
đóng kín,0,0,0,1,1,0,2
đốt lửa cháy,1,0,1,0,0,1,3
dữ,1,1,1,0,0,0,3
dữ tợn,1,1,1,0,0,0,3
dũng cảm,0,0,0,1,0,0,1
đụng độ,1,0,1,0,1,0,3
dưới chiều cao trung bình,0,0,0,0,1,1,2
ép buộc,1,1,1,0,0,0,3
gan dạ,0,0,0,1,0,0,1
gắt gỏng,1,1,0,0,1,0,3
gây ấn tượng,0,0,0,1,0,1,2
gây bạo động,1,0,1,0,0,1,3
gãy khúc,1,1,0,0,0,1,3
gây tai họa,1,0,1,0,1,0,3
ghê rợn,0,1,1,0,0,1,3
ghê sợ,1,0,1,0,1,0,3
ghê tởm,0,1,1,0,1,0,3
ghét,1,1,1,0,0,0,3
ghi bàn,0,0,0,1,0,1,2
giải phóng,0,0,0,1,0,1,2
giải thoát,0,0,0,1,0,0,1
giảm giá trị,1,1,0,0,1,0,3
giáo hội,0,0,0,1,0,0,1
giàu ý tưởng,0,0,0,1,0,1,2
gớm guốc,0,1,1,0,1,0,3
hai lòng,1,1,0,0,1,0,3
hại sức khỏe,0,1,1,0,1,0,3
hăm hở,0,0,0,1,0,0,1
hân hoan,0,0,0,1,0,0,1
hang hái,0,0,0,1,0,0,1
hạng sang,0,0,0,1,0,1,2
hãnh diện,0,0,0,1,0,0,1
hạnh phúc,0,0,0,1,0,0,1
hành trình,0,0,1,1,0,0,2
hao mòn,0,1,1,0,1,0,3
háo sắc,1,1,1,0,0,0,3
hay rầy la,1,1,1,0,0,0,3
hay thù hằn,1,1,1,0,0,0,3
hay vui đùa,0,0,0,1,0,1,2
héo hon,0,1,0,0,1,1,3
hổ thẹn,1,1,0,0,1,0,3
Hoài bão,0,0,0,1,0,0,1
hoàng kim,0,0,0,1,0,0,1
hốc hác,0,0,0,0,1,1,2
Hôi,1,1,1,0,0,0,3
hồi hộp,0,0,0,1,0,1,2
hồi phục,0,0,0,1,0,0,1
hớn hở,0,0,0,1,0,1,2
hôn nhân,0,0,0,1,0,0,1
hống hách,1,1,1,0,0,0,3
hứa hẹn,0,0,0,1,0,0,1
hung ác,1,1,1,0,0,0,3
hưng thịnh,0,0,0,1,0,0,1
hứng thú,0,0,0,1,0,1,2
hưởng thụ,0,0,0,1,0,0,1
hủy diệt,1,0,1,0,1,0,3
im ắng,0,0,1,0,1,1,3
im bặt,0,0,1,0,1,1,3
inh tai nhức óc,1,1,1,0,0,0,3
kẻ ám sát,1,0,1,0,1,0,3
kẻ thù,1,1,1,0,0,0,3
kết đôi,0,0,0,1,0,0,1
kết thúc,0,0,0,1,1,0,2
khẩn cấp,0,0,1,0,1,1,3
khao khát,0,0,0,1,0,0,1
khát vọng,0,0,0,1,0,0,1
khéo léo,0,0,0,1,0,1,2
khép mình,0,1,1,0,1,0,3
khó chịu,1,1,0,0,1,0,3
khổ cực,1,0,1,0,1,0,3
khó dậy,1,0,0,0,0,1,2
khổ sở,1,1,0,0,1,0,3
khoác lác,1,1,0,0,0,1,3
khốn khổ,1,1,0,0,1,0,3
khốn khổ khốn nạn,1,1,0,0,1,0,3
khốn nạn,1,1,0,0,1,0,3
không ai nhìn nhận,0,1,0,0,1,0,2
không chấp,1,1,0,0,1,0,3
không chữa được,0,0,1,0,1,0,2
không chung thuỷ,1,1,0,0,1,0,3
không có hình dáng cân đối,0,1,0,0,1,0,2
không có hình dáng đẹp,0,1,0,0,1,0,2
không công bằng,1,1,0,0,1,0,3
không công tâm,1,1,0,0,0,0,2
không dây,1,0,0,0,0,1,2
không để ý,1,1,0,0,1,0,3
không dùng được nữa,0,1,0,0,1,0,2
không được trồng trọt,0,1,0,0,1,0,2
không hạnh phúc,1,1,0,0,1,0,3
không khuyết điểm,0,0,0,1,0,0,1
không mệt mỏi,0,0,0,1,0,1,2
không nói được,0,1,0,0,1,0,2
không quan tâm,1,1,0,0,1,0,3
không sáng,0,1,1,0,1,0,3
không sinh lợi,1,1,0,0,1,0,3
không sinh sản,1,1,0,0,1,0,3
không suy nghĩ,1,1,0,0,1,0,3
không thể cứu chữa,0,0,1,0,1,0,2
không thể đoán,0,1,0,1,0,0,2
không thể dự đoán,0,1,0,1,0,0,2
không thể hoà giải,1,1,0,0,1,0,3
không thể nói trước,0,1,0,1,0,0,2
không thể tưởng tượng,1,1,1,0,0,0,3
không thích hợp,1,1,0,0,1,0,3
không thương tiếc,1,1,1,0,0,0,3
không thuỷ chung,1,1,0,0,1,0,3
không tì vết,0,0,0,1,0,1,2
không trả công,1,0,0,0,1,0,2
không trả lương,1,0,0,0,1,0,2
không trung thực,1,1,0,0,1,0,3
không tương thích,1,1,0,0,1,0,3
không vững,0,1,1,0,0,0,2
khủng khiếp,1,0,1,0,1,0,3
khuyên giải,0,0,0,1,0,0,1
kỉ niệm,0,0,0,1,0,0,1
kì quặc,0,1,1,0,1,0,3
kịch tính,0,0,0,1,0,1,2
kinh hãi,0,1,1,0,0,1,3
kinh hoàng,0,1,1,0,0,1,3
kính mến,0,0,0,1,1,0,2
kinh ngạc,0,1,1,0,0,1,3
kinh tởm,1,1,1,0,0,0,3
kính trọng,0,0,0,1,0,0,1
kỳ cục,1,1,1,0,0,0,3
kỳ diệu,0,0,0,1,0,1,2
kỳ quặc,1,1,1,0,0,0,3
làm bẩn,0,1,1,0,1,0,3
làm chủ,1,0,0,1,0,0,2
làm hại,1,1,0,0,1,0,3
làm hỏng,0,1,1,0,1,0,3
lầm lạc,0,1,0,0,1,0,2
lấm lét,1,1,1,0,0,0,3
làm ô danh,1,1,1,0,0,0,3
làm săn chắc da,0,0,0,1,0,1,2
làm săn da,0,0,0,1,0,1,2
làm se da,0,0,0,1,0,1,2
lanh lợi,0,0,0,1,0,0,1
lảo đảo,0,1,1,0,0,1,3
lập dị,0,1,0,0,0,1,2
lấp lánh,0,0,0,1,0,0,1
láu cá,1,1,0,0,0,1,3
lễ cưới,0,0,0,1,0,0,1
lễ hội,0,0,0,1,0,1,2
lênh đênh,0,0,1,0,1,0,2
liên hoan,0,0,0,1,0,1,2
lo lắng bồn chồn,0,1,1,0,1,0,3
lở tuyết,0,0,1,0,1,1,3
loã lồ,1,1,0,0,0,1,3
loại trừ,0,0,1,0,1,1,3
lớn lên,0,0,0,1,0,0,1
lòng lang dạ sói,1,1,1,0,0,0,3
lòng tin,0,0,1,1,0,0,2
lót vào,0,0,0,1,0,1,2
lừa bịp,1,1,1,0,0,0,3
luật sư,1,0,1,0,0,0,2
ly kỳ,0,0,0,1,0,1,2
mắc tội,0,0,1,0,1,0,2
Mai phục,1,0,1,0,0,1,3
man rợ,1,1,1,0,0,0,3
mạnh mẽ,0,0,0,1,0,0,1
mất tập trung,1,1,0,0,1,0,3
mất trí,1,0,1,0,1,0,3
mau lên,0,0,1,0,0,1,2
mẫu mực,0,0,0,1,0,0,1
máu nóng,1,1,1,0,0,0,3
màu trắng,0,0,0,1,0,0,1
máy thu thanh,1,0,0,0,0,1,2
mê hoặc,1,1,1,0,0,0,3
mê hồn,1,1,1,0,0,0,3
mê muội,1,1,0,0,0,0,2
mờ ám,1,1,1,0,0,0,3
mơ màng,0,0,0,1,1,0,2
mọc mầm,0,0,0,1,0,0,1
nắm vững,1,0,0,1,0,0,2
nắng,0,0,0,1,0,1,2
nâng cao,0,0,0,1,0,0,1
nâng đỡ,0,0,0,1,0,0,1
nặng nhọc,0,1,1,0,0,0,2
náo động,1,0,1,0,1,0,3
ngất,0,0,1,0,0,1,2
ngất xỉu,0,0,1,0,0,1,2
ngày lễ,0,0,0,1,0,1,2
ngây ngất,0,0,0,1,0,1,2
ngỗ nghịch,0,1,0,0,1,0,2
ngôi sao,0,0,0,1,0,0,1
ngọt ngào,0,0,0,1,0,0,1
ngu xuẩn,1,0,1,0,1,0,3
người đần độn,1,1,1,0,0,0,3
người được ủy quyền,1,0,1,0,0,0,2
người hâm mộ,0,0,0,1,0,0,1
người tin mù quáng,1,1,1,0,0,0,3
nguồn gốc,0,0,0,1,0,0,1
nguy hiểm,1,1,1,0,0,0,3
nguy kịch,0,0,1,0,1,0,2
nguy ngập,0,0,1,0,1,0,2
nhà thờ,0,0,0,1,0,0,1
nhăn nhó,1,1,0,0,1,0,3
nhẵn nhụi,0,0,0,1,0,1,2
nhanh nhẹn,0,0,0,1,0,0,1
nhất,0,0,0,1,0,1,2
nhát gan,0,1,1,0,1,0,3
nhiễm,0,1,1,0,1,0,3
nhiệm màu,0,0,0,1,0,1,2
nhiệm mầu,0,0,0,1,0,1,2
nhiệt tình,0,0,0,1,0,0,1
nhiều tranh cãi,1,1,0,0,1,0,3
nhỏ xíu,0,1,0,0,1,1,3
nhói óc,1,1,1,0,0,0,3
nhớp nhúa,0,1,1,0,0,1,3
